subject,relation,object,weight
Věra Jourová,mentions,vice president commission,4
Josep Borrell Fontelles,mentions,vice president commission,5
Maroš Šefčovič,mentions,vice president commission,4
Margaritis Schinas,mentions,vice president commission,1
Federica Mogherini,mentions,vice president commission,1
Alex Agius Saliba,mentions,behalf group president,1
Siegfried Mureşan,mentions,behalf group president,1
Maria Walsh,mentions,behalf group president,1
Iuliu Winkler,mentions,behalf group president,1
Petri Sarvamaa,mentions,behalf group president,1
Jeroen Lenaers,mentions,behalf group president,1
Kati Piri,mentions,behalf group president,1
Victor Negrescu,mentions,behalf group president,1
Jan Olbrycht,mentions,behalf group president,1
Evin Incir,mentions,behalf group president,1
Marina Kaljurand,mentions,behalf group president,1
Andrius Kubilius,mentions,behalf group president,1
Cyrus Engerer,mentions,behalf group president,1
Birgit Sippel,mentions,behalf group president,1
Anna Fotyga,mentions,behalf group president,1
Evelyn Regner,mentions,sorry would like,1
Evelyn Regner,mentions,debate closed vote,1
Roberta Metsola,mentions,thank very very,1
Roberta Metsola,mentions,colleagues thank points,1
Roberta Metsola,mentions,that concludes vote,1
Roberta Metsola,mentions,would like inform,1
Roberta Metsola,mentions,dace melb left,1
Roberta Metsola,mentions,helmut geuking submitted,1
Roberta Metsola,mentions,with regard other,1
Roberta Metsola,mentions,groups have notified,1
Roberta Metsola,mentions,would also like,1
Roberta Metsola,mentions,next item debate,1
Roberta Metsola,mentions,come order business,1
Roberta Metsola,mentions,president want talk,1
Roberta Metsola,mentions,minutes texts adopted,1
Roberta Metsola,mentions,debate suspended,1
Roberta Metsola,mentions,next item vote,1
Roberta Metsola,mentions,there full round,1
Yana Toom,mentions,behalf renew group,1
Yana Toom,mentions,rapporteur madam president,1
Martin Hlaváček,mentions,behalf renew group,1
Guy Verhofstadt,mentions,behalf renew group,2
Luis Garicano,mentions,behalf renew group,1
Karen Melchior,mentions,behalf renew group,1
Dragoş Tudorache,mentions,behalf renew group,1
Sophia in 't Veld,mentions,behalf renew group,2
Ondřej Knotek,mentions,behalf renew group,1
Shaffaq Mohammed,mentions,behalf renew group,1
Michal Šimečka,mentions,behalf renew group,1
Martin Hojsík,mentions,behalf renew group,1
Billy Kelleher,mentions,behalf renew group,1
Phil Bennion,mentions,behalf renew group,1
Dragoş Pîslaru,mentions,behalf renew group,1
Samira Rafaela,mentions,behalf renew group,1
Petras Auštrevičius,mentions,behalf renew group,1
Seán Kelly,mentions,thar ceann uachtar,1
Seán Kelly,mentions,president empathise with,1
Seán Kelly,mentions,uachtar number years,1
Seán Kelly,mentions,president europe been,1
Seán Kelly,mentions,uachtar sustainable development,1
Seán Kelly,mentions,president probability ordinary,1
Seán Kelly,mentions,behalf group madam,1
Seán Kelly,mentions,madam president decision,1
Seán Kelly,mentions,uachtar afghanistan about,1
Fabio Massimo Castaldo,mentions,president madam commissioner,1
Anna-Michelle Asimakopoulou,mentions,president vice chair,1
Ska Keller,mentions,behalf verts group,1
Anna Cavazzini,mentions,behalf verts group,2
Markéta Gregorová,mentions,behalf verts group,2
Alexandra Geese,mentions,behalf verts group,1
Tineke Strik,mentions,behalf verts group,2
Sergey Lagodinsky,mentions,behalf verts group,1
Sara Matthieu,mentions,behalf verts group,1
Hannah Neumann,mentions,behalf verts group,1
Carles Puigdemont i Casamajó,mentions,madam president borrell,1
Dorien Rookmaker,mentions,madam president borrell,1
Sandra Kalniete,mentions,writing ukraine asks,1
Dita Charanzová,mentions,debate closed vote,4
Dita Charanzová,mentions,declare adjourned session,1
Dita Charanzová,mentions,madam president seems,1
Dita Charanzová,mentions,next item agenda,1
Dita Charanzová,mentions,next item recommendation,1
Dita Charanzová,mentions,that concludes item,2
Dita Charanzová,mentions,madam president impact,1
Dita Charanzová,mentions,next part session,1
Dita Charanzová,mentions,debate closed written,1
Dita Charanzová,mentions,before continuing this,1
Marcel Kolaja,mentions,debate closed vote,2
Marc Angel,mentions,next item report,1
Marc Angel,mentions,president just before,1
Marc Angel,mentions,president dear commissioner,1
Marc Angel,mentions,behalf group madam,1
Marc Angel,mentions,madam president fantastic,1
Marc Angel,mentions,minutes this sitting,1
Nicolas Schmit,mentions,member commission madam,5
Nicolas Schmit,mentions,membre commission monsieur,1
Nicolas Schmit,mentions,member commission president,1
Paolo Gentiloni,mentions,member commission madam,3
Olivér Várhelyi,mentions,member commission madam,2
Didier Reynders,mentions,member commission madam,1
Virginijus Sinkevičius,mentions,member commission madam,1
Johannes Hahn,mentions,member commission madam,2
Helena Dalli,mentions,member commission madam,3
Ylva Johansson,mentions,member commission madam,2
Mairead McGuinness,mentions,member commission madam,1
Jutta Urpilainen,mentions,member commission madam,1
Adina-Ioana Vălean,mentions,member commission madam,1
Helena Dalli,mentions,member commission president,3
Kadri Simson,mentions,member commission president,2
Janez Lenarčič,mentions,member commission president,1
Ylva Johansson,mentions,member commission president,1
Marianne Thyssen,mentions,member commission president,1
Olivér Várhelyi,mentions,member commission president,1
Mariya Gabriel,mentions,member commission president,2
Virginijus Sinkevičius,mentions,member commission president,1
Stella Kyriakides,mentions,member commission president,2
Johannes Hahn,mentions,member commission president,1
Adina-Ioana Vălean,mentions,member commission president,1
Clare Daly,mentions,madam president talking,1
Clare Daly,mentions,president management fisheries,1
Clare Daly,mentions,madam president wouldn,1
Clare Daly,mentions,behalf left group,1
Clare Daly,mentions,madam president weeks,1
Clare Daly,mentions,president think great,1
Clare Daly,mentions,president could course,1
Clare Daly,mentions,president really welcome,1
Clare Daly,mentions,madam president have,2
Clare Daly,mentions,madam president really,1
Clare Daly,mentions,president voted against,1
Clare Daly,mentions,madam president know,1
Clare Daly,mentions,president have just,1
Ursula von der Leyen,mentions,president commission madam,1
Ursula von der Leyen,mentions,sidentin kommission sehr,1
Paolo Gentiloni,mentions,member commission will,1
Svenja Hahn,mentions,madam president dear,1
Rovana Plumb,mentions,madam president dear,1
Tsvetelina Penkova,mentions,madam president dear,1
Tilly Metz,mentions,author president since,1
Tilly Metz,mentions,madam president just,1
Ernest Urtasun,mentions,madam president again,1
Ernest Urtasun,mentions,author president least,1
Monika Hohlmeier,mentions,darf ganz kurz,1
Rainer Wieland,mentions,behalf group madam,1
Rainer Wieland,mentions,kelly question whether,1
Rainer Wieland,mentions,thank commissioner simpson,1
Tsvetelina Penkova,mentions,behalf group madam,1
Assita Kanko,mentions,behalf group madam,1
Charlie Weimers,mentions,behalf group madam,1
Cristian Terheş,mentions,behalf group madam,1
Lena Düpont,mentions,behalf group madam,1
Pedro Marques,mentions,behalf group madam,2
Tonino Picula,mentions,behalf group madam,1
Jytte Guteland,mentions,behalf group madam,1
Derk Jan Eppink,mentions,behalf group madam,1
Petras Auštrevičius,mentions,madam president china,1
Petras Auštrevičius,mentions,madam president thank,1
Tineke Strik,mentions,madam president important,1
Tineke Strik,mentions,president council commissioner,1
Tineke Strik,mentions,madam president commissioner,1
Vladimír Bilčík,mentions,madam president important,1
Didier Reynders,mentions,vice sident commission,1
Didier Reynders,mentions,member commission behalf,1
Didier Reynders,mentions,membre commission monsieur,2
Didier Reynders,mentions,membre commission madame,1
Valdis Dombrovskis,mentions,executive vice president,2
Margrethe Vestager,mentions,executive vice president,2
Markéta Gregorová,mentions,madam president group,1
Markéta Gregorová,mentions,madam president colleagues,1
Mick Wallace,mentions,behalf left group,1
Mick Wallace,mentions,madam president good,1
Mick Wallace,mentions,president early pandemic,1
Mick Wallace,mentions,madam president sometimes,1
Mick Wallace,mentions,president debate amounts,1
Mick Wallace,mentions,madam president commission,1
Mick Wallace,mentions,madam president well,1
Mick Wallace,mentions,president weeks pope,1
Mick Wallace,mentions,president consumption commodities,1
Mick Wallace,mentions,madam president european,1
Mick Wallace,mentions,blue card speech,1
Mick Wallace,mentions,madam president europe,1
Mick Wallace,mentions,madam president setting,1
Chris MacManus,mentions,behalf left group,1
Philippe Lamberts,mentions,blue card question,1
Philippe Lamberts,mentions,president prime minister,1
Philippe Lamberts,mentions,madam president know,1
Richard Corbett,mentions,blue card question,1
Tomislav Sokol,mentions,blue card question,1
Željana Zovko,mentions,blue card question,1
Sophia in 't Veld,mentions,blue card question,1
